feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
-0.044457,-0.042117,-0.041527,0.0,-0.041494,0.00156,18.335365,485.575745,0.002471,0.001812,-0.0,1.944166,0.976562,65.429687,1.953125,119.140625,0.762225,1.332855,-0.011516,-0.000371,0.003651,0.024932,0.003951,0.006109,0.259622,-0.229405,0.00975,0.003849,-0.0,1.944166,65.429687,64.453125,119.140625,1.953125,2.057315,5.176639,normal
-0.046555,-0.042595,-0.041529,0.0,-0.041679,0.001977,8.870358,190.857544,0.003479,0.002314,-0.0,2.12949,0.976562,1.953125,65.429687,119.140625,0.77493,1.248236,-0.013999,0.000203,0.004805,0.023677,0.004902,0.006544,0.094242,-0.271781,0.00763,0.003414,-0.0,2.12949,65.429687,0.976562,64.453125,2.929688,2.095767,4.980226,normal
-0.044645,-0.041359,-0.040534,0.0,-0.040625,0.001719,12.67983,302.269592,0.003377,0.002874,-0.0,2.12949,0.976562,1.953125,2.929688,65.429687,0.757606,1.282535,-0.016324,-0.001125,0.002899,0.021118,0.003038,0.006212,0.064226,-0.221134,0.01348,0.003766,-0.0,2.12949,65.429687,0.976562,64.453125,119.140625,2.016203,5.05497,normal
-0.046718,-0.043636,-0.042803,0.0,-0.042806,0.00181,12.787246,303.05365,0.004014,0.00423,-0.0,2.12949,0.976562,65.429687,119.140625,118.164062,0.769828,1.206757,-0.014834,8e-06,0.005269,0.03202,0.005796,0.00797,0.014746,-0.484271,0.01184,0.005112,-0.0,2.12949,0.976562,65.429687,64.453125,130.859375,2.353254,5.756527,normal
-0.050357,-0.048132,-0.046248,0.0,-0.045972,0.002777,4.57246,71.328781,0.004641,0.002315,-0.0,2.12949,0.976562,1.953125,2.929688,65.429687,0.768439,1.233022,-0.020918,-0.005756,-0.000225,0.020885,-0.0002,0.007831,0.078024,-0.394192,0.001931,0.00919,-0.0,2.12949,65.429687,0.0,64.453125,1.953125,2.310805,5.155608,normal
-0.045977,-0.043084,-0.042451,0.0,-0.042505,0.001616,17.629185,464.29538,0.004229,0.00474,-0.0,2.12949,0.976562,65.429687,119.140625,2.929688,0.775073,1.256488,-0.017141,-0.002995,0.001093,0.019269,0.001103,0.006005,0.009878,-0.046127,0.002294,0.001276,-0.0,2.12949,64.453125,0.976562,0.0,119.140625,1.743954,4.115965,normal
-0.048807,-0.046812,-0.046287,0.0,-0.046156,0.001735,18.476589,486.550232,0.00253,0.00317,-0.0,2.12949,0.976562,65.429687,119.140625,1.953125,0.814041,1.313134,-0.019988,-0.006098,-0.000975,0.022985,-0.000719,0.00719,0.17197,-0.315869,0.014574,0.000998,-0.0,2.12949,0.976562,64.453125,130.859375,119.140625,2.27004,5.575645,normal
-0.04932,-0.04617,-0.044653,0.0,-0.044982,0.00215,8.670999,185.061584,0.004413,0.001722,-0.0,2.12949,0.976562,65.429687,119.140625,1.953125,0.815284,1.267181,-0.011971,0.002703,0.007463,0.029367,0.0075,0.006899,0.046841,-0.238609,0.007783,0.006256,-0.0,2.12949,0.976562,65.429687,1.953125,64.453125,1.89627,4.783511,normal
-0.048177,-0.045411,-0.044623,0.0,-0.044752,0.001774,15.500389,393.277191,0.004704,0.004374,-0.0,2.12949,0.976562,1.953125,65.429687,119.140625,0.798109,1.318271,-0.016309,-0.002683,0.001535,0.024388,0.001896,0.00651,0.121461,-0.140015,0.01065,0.004069,-0.0,2.12949,0.0,0.976562,64.453125,66.40625,2.280766,5.515872,normal
-0.048079,-0.045108,-0.043949,0.0,-0.044064,0.001965,10.865558,244.453857,0.005205,0.004686,-0.0,2.12949,0.976562,1.953125,2.929688,65.429687,0.78493,1.338351,-0.018376,-0.004987,0.000252,0.016693,-0.000157,0.006726,-0.155301,-0.426037,0.013437,0.003604,-0.0,2.12949,65.429687,0.976562,2.929688,64.453125,1.884071,5.222256,normal
