feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
-0.219574,-0.099154,-0.059959,0.067553,-0.050163,0.063589,0.02908,-0.793419,0.08621,0.012766,-0.0,1.944166,35.15625,36.132812,0.976562,34.179687,2.642156,14.584023,-0.188544,-0.10899,-0.048336,0.22303,-0.013996,0.109632,0.457576,-1.184301,0.266217,0.017998,-0.0,1.944166,36.132812,0.0,71.289062,34.179687,7.199895,33.980488,rung_12_5
-0.130856,-0.086168,-0.047359,0.068887,-0.035529,0.057689,0.269369,-1.319902,0.109323,0.010753,-0.0,2.12949,0.0,36.132812,0.976562,34.179687,2.869659,14.614964,-0.161332,-0.106595,-0.044322,0.210673,-0.009918,0.108708,0.480996,-1.205929,0.105665,0.004277,-0.0,2.12949,36.132812,71.289062,34.179687,70.3125,6.892285,30.845337,rung_12_5
-0.17378,-0.089903,-0.052564,0.066318,-0.041473,0.05897,0.186074,-1.144144,0.044684,0.010794,-0.0,2.12949,35.15625,36.132812,0.976562,71.289062,2.719625,14.34092,-0.316161,-0.132177,-0.069137,0.213248,-0.041531,0.119975,0.270829,-0.835786,0.146023,0.005011,-0.0,2.12949,36.132812,0.0,71.289062,34.179687,7.068512,32.390526,rung_12_5
-0.127892,-0.075142,-0.032019,0.146004,-0.022314,0.060381,0.272839,-1.045734,0.059848,0.004819,-0.0,2.12949,36.132812,0.0,0.976562,34.179687,2.57512,14.935067,-0.165218,-0.105679,-0.040807,0.254948,-0.00608,0.111861,0.465539,-1.180948,0.252888,0.003994,-0.0,2.12949,36.132812,71.289062,34.179687,70.3125,6.053971,34.76981,rung_12_5
-0.125949,-0.081542,-0.042433,0.071887,-0.03029,0.058168,0.256193,-1.337966,0.048384,0.004673,-0.0,2.12949,0.0,36.132812,0.976562,34.179687,2.679119,15.148208,-0.15128,-0.092997,-0.025453,0.297947,0.007525,0.111701,0.464344,-1.144871,0.221048,0.022602,-0.0,2.12949,36.132812,34.179687,71.289062,70.3125,7.447515,33.682053,rung_12_5
-0.126992,-0.078247,-0.038459,0.08387,-0.028124,0.057405,0.26078,-1.305994,0.061657,0.004115,-0.0,2.12949,0.0,36.132812,0.976562,34.179687,2.662649,14.544428,-0.168519,-0.095157,-0.00968,0.458722,0.015867,0.125764,0.632237,-0.301164,0.245029,0.027121,-0.0,2.12949,36.132812,34.179687,71.289062,0.976562,7.489639,33.224316,rung_12_5
-0.123382,-0.084192,-0.043199,0.06717,-0.032641,0.057965,0.2455,-1.34585,0.07544,0.002183,-0.0,2.12949,0.0,36.132812,0.976562,71.289062,2.434075,14.57411,-0.191874,-0.107532,-0.041177,0.252781,-0.010321,0.110682,0.440732,-1.165088,0.137727,0.011869,-0.0,2.12949,36.132812,0.0,71.289062,34.179687,6.912521,29.528578,rung_12_5
-0.129215,-0.083329,-0.040965,0.1237,-0.029761,0.060612,0.293011,-1.135889,0.077677,0.008391,-0.0,2.12949,0.0,36.132812,0.976562,71.289062,2.463033,15.55297,-0.241424,-0.118407,-0.055158,0.2143,-0.026886,0.112356,0.417662,-1.056257,0.115741,0.00283,-0.0,2.12949,36.132812,0.0,71.289062,34.179687,6.856692,31.797476,rung_12_5
-0.13126,-0.085275,-0.047289,0.067311,-0.035445,0.057054,0.25528,-1.322546,0.115086,0.001124,-0.0,2.12949,0.0,36.132812,0.976562,34.179687,2.469252,14.884233,-0.344731,-0.123268,-0.059902,0.205855,-0.034536,0.119221,0.131762,-0.67319,0.174952,0.012126,-0.0,2.12949,36.132812,0.0,71.289062,34.179687,6.787473,31.976931,rung_12_5
-0.146392,-0.087851,-0.048016,0.077845,-0.035843,0.059252,0.223095,-1.31893,0.068288,0.009128,-0.0,2.12949,0.0,36.132812,0.976562,34.179687,2.479352,14.828495,-0.366404,-0.122004,-0.060921,0.21685,-0.034835,0.121199,0.110866,-0.671056,0.190515,0.01437,-0.0,2.12949,36.132812,0.0,71.289062,34.179687,7.041965,31.354269,rung_12_5
-0.125677,-0.07923,-0.035425,0.118675,-0.025998,0.059254,0.248322,-1.250851,0.025396,0.006334,-0.0,2.12949,36.132812,0.0,0.976562,34.179687,2.441254,14.629653,-0.340059,-0.116135,-0.05615,0.21206,-0.026311,0.120188,0.186488,-0.724203,0.163468,0.020884,-0.0,2.12949,36.132812,71.289062,34.179687,0.0,6.947545,34.128159,rung_12_5
-0.131129,-0.073377,-0.030719,0.173843,-0.020363,0.061802,0.39236,-0.725387,0.083426,0.005637,-0.0,2.12949,36.132812,0.0,0.976562,34.179687,2.430498,14.095195,-0.257197,-0.125094,-0.059403,0.201312,-0.029679,0.112781,0.374476,-1.147707,0.215776,0.007352,-0.0,2.12949,36.132812,0.0,71.289062,34.179687,6.154486,30.609879,rung_12_5
-0.125445,-0.080184,-0.039629,0.081816,-0.02789,0.058335,0.243393,-1.347443,0.057005,0.001983,-0.0,2.12949,36.132812,0.0,0.976562,71.289062,2.481467,14.532767,-0.255042,-0.113366,-0.046427,0.228154,-0.017772,0.113604,0.346963,-1.062501,0.085298,0.026206,-0.0,2.12949,36.132812,71.289062,0.0,34.179687,6.753527,30.576021,rung_12_5
-0.13949,-0.086148,-0.04183,0.14033,-0.032155,0.061916,0.288499,-1.002138,0.079925,0.001239,-0.0,2.12949,35.15625,36.132812,0.976562,71.289062,2.378712,14.372725,-0.23849,-0.120196,-0.056534,0.203196,-0.025922,0.111278,0.405219,-1.136368,0.119856,0.01152,-0.0,2.12949,36.132812,0.0,71.289062,34.179687,6.047559,30.537369,rung_12_5
-0.170209,-0.101929,-0.061069,0.056662,-0.050767,0.05911,0.205158,-1.164144,0.077541,0.02756,-0.0,2.12949,35.15625,36.132812,0.976562,71.289062,3.04369,14.178132,-0.160494,-0.088598,-0.012483,0.351693,0.014644,0.115986,0.468623,-0.876525,0.131091,0.04032,-0.0,2.12949,36.132812,71.289062,34.179687,70.3125,7.166361,31.390377,rung_12_5
-0.175958,-0.097135,-0.055717,0.065177,-0.045475,0.060688,0.189957,-1.160101,0.097573,0.005612,-0.0,2.12949,35.15625,36.132812,0.976562,71.289062,3.144463,15.350427,-0.186342,-0.104245,-0.038151,0.230331,-0.00918,0.112206,0.400753,-1.17029,0.178903,0.004554,-0.0,2.12949,36.132812,0.0,71.289062,0.976562,6.342385,34.23558,rung_12_5
