feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
-0.070306,-0.063521,-0.059139,0.0,-0.059457,0.005204,1.416341,15.242714,0.007876,0.003668,-0.0,1.944166,0.976562,16.601562,17.578125,1.953125,1.131795,1.984781,-0.051949,-0.023653,-0.004211,0.045562,-0.005888,0.020884,-0.03376,-0.766675,0.020929,0.00203,-0.0,1.944166,17.578125,0.0,0.976562,65.429687,2.957559,7.466595,rung_6
-0.065755,-0.060856,-0.056745,0.0,-0.057112,0.0044,2.001561,25.944075,0.003516,0.002609,-0.0,2.12949,0.976562,16.601562,17.578125,34.179687,1.055823,1.838535,-0.060884,-0.028475,-0.011749,0.035744,-0.012525,0.02025,-0.000202,-0.773734,0.005931,0.00633,-0.0,2.12949,16.601562,17.578125,0.976562,65.429687,2.534345,6.396494,rung_6
-0.069335,-0.060219,-0.056739,0.0,-0.056876,0.00486,1.325097,17.144344,0.01037,0.006461,-0.0,2.12949,0.976562,16.601562,17.578125,34.179687,1.084019,1.687833,-0.041851,-0.016321,-0.000672,0.037373,-0.001624,0.017984,-0.039303,-0.993794,0.033971,0.004493,-0.0,2.12949,17.578125,65.429687,1.953125,34.179687,2.473218,5.23552,rung_6
-0.06493,-0.059361,-0.055797,0.0,-0.055835,0.004399,1.864925,23.705734,0.005621,0.005071,-0.0,2.12949,0.976562,16.601562,17.578125,34.179687,1.04977,1.691132,-0.043929,-0.019228,-0.003289,0.037271,-0.003976,0.018257,-0.083678,-0.983242,0.00693,0.004244,-0.0,2.12949,17.578125,0.0,65.429687,1.953125,2.251636,6.173858,rung_6
-0.065612,-0.059755,-0.056071,0.0,-0.056234,0.004359,1.988864,25.360567,0.00618,0.002981,-0.0,2.12949,0.976562,16.601562,17.578125,34.179687,1.08257,1.746614,-0.04844,-0.015975,-0.000145,0.042618,-0.000597,0.019384,-0.079643,-0.873598,0.008282,0.003967,-0.0,2.12949,17.578125,0.976562,65.429687,1.953125,2.592383,6.268257,rung_6
-0.066704,-0.060148,-0.056654,0.0,-0.056759,0.004568,1.768953,21.847027,0.002822,0.005445,-0.0,2.12949,0.976562,16.601562,17.578125,34.179687,1.026479,1.760949,-0.043296,-0.019508,-0.003271,0.041679,-0.003807,0.018303,0.007282,-0.889441,0.026523,0.004003,-0.0,2.12949,17.578125,0.0,65.429687,0.976562,2.343354,5.875112,rung_6
-0.072744,-0.06163,-0.058324,0.0,-0.058173,0.005525,0.914313,11.000935,0.00701,0.00406,-0.0,2.12949,0.976562,16.601562,17.578125,34.179687,1.056468,1.716778,-0.056528,-0.023686,-0.007013,0.038239,-0.00764,0.019628,-0.087689,-0.818832,0.03625,0.0024,-0.0,2.12949,17.578125,0.0,0.976562,65.429687,2.395252,6.733591,rung_6
-0.071017,-0.06127,-0.058107,0.0,-0.05809,0.005009,1.326591,16.532686,0.010797,0.004384,-0.0,2.12949,0.976562,16.601562,17.578125,34.179687,1.085183,1.698084,-0.069848,-0.030511,-0.014459,0.049704,-0.014192,0.022391,0.072658,-0.507066,0.026191,0.004238,-0.0,2.12949,0.976562,16.601562,17.578125,1.953125,2.396915,5.420662,rung_6
-0.075747,-0.063644,-0.060308,0.0,-0.060235,0.005941,0.634652,9.408615,0.006107,0.00625,-0.0,2.12949,0.976562,16.601562,17.578125,1.953125,1.092198,1.81728,-0.080989,-0.03196,-0.016176,0.030878,-0.016968,0.021534,-0.350662,-0.207376,0.01941,0.006362,-0.0,2.12949,16.601562,17.578125,0.976562,65.429687,2.221603,6.161687,rung_6
-0.067066,-0.061572,-0.057812,0.0,-0.058277,0.004315,2.259475,30.789928,0.003598,0.004138,-0.0,2.12949,0.976562,16.601562,17.578125,1.953125,1.078433,1.676112,-0.070433,-0.028405,-0.012851,0.031205,-0.013371,0.020566,-0.166771,-0.533474,0.028144,0.003836,-0.0,2.12949,16.601562,17.578125,0.976562,65.429687,2.368909,5.283382,rung_6
