feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,state
-0.013406,-0.013311,-0.01327,0.0,-0.013235,0.000424,29.769783,926.761475,0.00104,0.001057,-0.0,2.12949,0.976562,3.90625,1.953125,12.695313,0.216418,0.216976,0.0,0.008102,0.008125,0.008372,0.008142,0.000265,-28.273342,866.63385,0.00063,0.000649,-0.0,2.12949,0.976562,12.695313,1.953125,25.390625,0.134808,0.13464,stop
-0.01325,-0.013079,-0.012977,0.0,-0.012959,0.000429,26.949997,811.73938,0.00101,0.001044,-0.0,2.12949,0.976562,3.90625,12.695313,4.882812,0.211097,0.211036,0.0,0.008183,0.008263,0.008452,0.008239,0.000276,-25.89118,768.739929,0.000739,0.000674,-0.0,2.12949,0.976562,3.90625,1.953125,2.929688,0.137111,0.137626,stop
-0.013059,-0.012935,-0.012787,0.0,-0.012785,0.000426,26.405287,789.626343,0.001021,0.001028,-0.0,2.12949,0.976562,1.953125,3.90625,2.929688,0.206839,0.207139,0.0,0.008263,0.008344,0.008616,0.008361,0.000291,-23.075321,660.826233,0.000667,0.000659,-0.0,2.12949,0.976562,12.695313,1.953125,5.859375,0.139219,0.13942,stop
-0.012712,-0.012499,-0.012342,0.0,-0.012379,0.000409,26.985201,814.248047,0.000987,0.000974,-0.0,2.12949,0.976562,1.953125,12.695313,5.859375,0.202652,0.203098,0.0,0.008447,0.00854,0.008686,0.008508,0.000281,-27.222876,822.155945,0.000766,0.000684,-0.0,2.12949,0.976562,1.953125,2.929688,12.695313,0.141512,0.141775,stop
-0.012451,-0.012276,-0.012124,0.0,-0.012152,0.000399,27.560369,837.046631,0.001002,0.000992,-0.0,2.12949,0.976562,1.953125,12.695313,2.929688,0.19829,0.198592,0.0,0.00865,0.00876,0.008887,0.008732,0.000292,-26.248104,783.126221,0.000748,0.00072,-0.0,2.12949,0.976562,1.953125,3.90625,12.695313,0.14385,0.144052,stop
-0.012187,-0.012098,-0.012061,0.0,-0.012046,0.00038,31.062443,981.267883,0.000982,0.000966,-0.0,2.12949,0.976562,1.953125,12.695313,2.929688,0.196407,0.196742,0.0,0.008819,0.008852,0.008909,0.008826,0.00028,-30.463171,955.815491,0.000664,0.000702,-0.0,2.12949,0.976562,12.695313,2.929688,25.390625,0.145981,0.146002,stop
-0.012237,-0.012148,-0.012091,0.0,-0.012057,0.000388,29.391951,911.36322,0.001058,0.00094,-0.0,2.12949,0.976562,1.953125,4.882812,12.695313,0.196009,0.196237,0.0,0.008798,0.008892,0.009037,0.008874,0.000294,-26.728207,802.588501,0.000636,0.000724,-0.0,2.12949,0.976562,12.695313,6.835937,5.859375,0.147221,0.147098,stop
-0.012179,-0.012034,-0.011927,0.0,-0.011916,0.000396,26.699001,801.754089,0.001098,0.000935,-0.0,2.12949,0.976562,12.695313,1.953125,13.671875,0.194016,0.194316,0.0,0.008982,0.009083,0.00922,0.009048,0.000298,-27.238144,822.954773,0.000696,0.000746,-0.0,2.12949,0.976562,1.953125,12.695313,2.929688,0.149542,0.149839,stop
-0.011857,-0.0117,-0.011592,0.0,-0.011589,0.000382,27.291187,825.742554,0.000924,0.000932,-0.0,2.12949,0.976562,1.953125,12.695313,2.929688,0.189838,0.189907,0.0,0.009146,0.009249,0.00941,0.009234,0.00031,-25.801947,765.376953,0.000742,0.000737,-0.0,2.12949,0.976562,1.953125,12.695313,3.90625,0.152102,0.15224,stop
-0.0116,-0.011427,-0.011338,0.0,-0.011358,0.000365,29.350716,910.173706,0.000897,0.000929,-0.0,2.12949,0.976562,1.953125,3.90625,12.695313,0.186673,0.186849,0.0,0.009261,0.009344,0.00945,0.009321,0.0003,-29.285664,906.966492,0.000717,0.000774,-0.0,2.12949,0.976562,1.953125,2.929688,12.695313,0.154056,0.154153,stop
